Date,Asset_ID,Category,Zone,Repair_Cost,Downtime_Hours,Risk_Score,Inventory_Stock,Total_Loss,Efficiency_Rating
2026-08-08 00:59:40.988113,AST-351,Structural,Yanbu Industrial City,4431.75,68,1.7,89,12556.625,91.5
2026-08-07 00:59:40.988113,AST-392,Hydraulic,Jeddah Islamic Port,7453.36,75,1.8,146,23291.75,91.0
2026-08-06 00:59:40.988113,AST-314,Structural,Yanbu Industrial City,7267.52,15,9.9,70,4542.200000000001,50.5
2026-08-05 00:59:40.988113,AST-371,Hydraulic,Jazan Port,3964.49,47,4.4,79,7763.792916666666,78.0
2026-08-04 00:59:40.988113,AST-360,Electrical,Yanbu Industrial City,5840.32,38,4.3,183,9247.173333333332,78.5
2026-08-03 00:59:40.988113,AST-320,Structural,Jubail Industrial City,5570.51,32,8.3,107,7427.346666666666,58.5
2026-08-02 00:59:40.988113,AST-382,Electrical,Jeddah Islamic Port,6590.66,22,9.5,170,6041.438333333333,52.5
2026-08-01 00:59:40.988113,AST-386,Hydraulic,Jeddah Islamic Port,3503.69,9,9.9,196,1313.88375,50.5
2026-07-31 00:59:40.988113,AST-374,Telemetry,Jazan Port,6218.97,68,7.8,230,17620.415,61.0
2026-07-30 00:59:40.988113,AST-374,Structural,Jubail Industrial City,9331.14,33,4.4,42,12830.3175,78.0
2026-07-29 00:59:40.988113,AST-387,Hydraulic,Dammam Logistics Park,5393.94,51,1.8,54,11462.1225,91.0
2026-07-28 00:59:40.988113,AST-399,Telemetry,Yanbu Industrial City,8748.79,9,8.0,102,3280.7962500000003,60.0
2026-07-27 00:59:40.988113,AST-323,Telemetry,Riyadh Supply Hub,4975.15,18,6.0,86,3731.3624999999997,70.0
2026-07-26 00:59:40.988113,AST-302,Electrical,Yanbu Industrial City,4300.63,57,4.8,34,10213.99625,76.0
2026-07-25 00:59:40.988113,AST-321,Hydraulic,Yanbu Industrial City,6660.83,0,9.2,83,0.0,54.0
2026-07-24 00:59:40.988113,AST-352,Telemetry,Dammam Logistics Park,6851.39,68,2.0,95,19412.271666666667,90.0
2026-07-23 00:59:40.988113,AST-301,Structural,Yanbu Industrial City,8413.34,3,5.4,183,1051.6675,73.0
2026-07-22 00:59:40.988113,AST-387,Structural,Jubail Industrial City,3341.48,15,1.1,195,2088.425,94.5
2026-07-21 00:59:40.988113,AST-329,Electrical,Jubail Industrial City,5493.55,23,5.2,230,5264.652083333333,74.0
2026-07-20 00:59:40.988113,AST-337,Telemetry,Jeddah Islamic Port,6076.03,79,1.5,56,20000.265416666665,92.5
2026-07-19 00:59:40.988113,AST-301,Hydraulic,Jazan Port,7648.43,1,2.1,170,318.6845833333333,89.5
2026-07-18 00:59:40.988113,AST-363,Structural,Riyadh Supply Hub,1848.83,31,2.1,229,2388.0720833333335,89.5
2026-07-17 00:59:40.988113,AST-359,Telemetry,Yanbu Industrial City,9456.4,23,6.8,220,9062.383333333333,66.0
2026-07-16 00:59:40.988113,AST-320,Telemetry,Yanbu Industrial City,5259.56,11,7.7,83,2410.6316666666667,61.5
2026-07-15 00:59:40.988113,AST-332,Electrical,Dammam Logistics Park,3736.48,49,6.3,34,7628.6466666666665,68.5
2026-07-14 00:59:40.988113,AST-375,Structural,Jazan Port,8567.95,34,9.7,110,12137.929166666669,51.5
2026-07-13 00:59:40.988113,AST-357,Structural,Jubail Industrial City,7481.75,32,4.4,55,9975.666666666666,78.0
2026-07-12 00:59:40.988113,AST-321,Hydraulic,Riyadh Supply Hub,9124.57,32,3.6,85,12166.093333333332,82.0
2026-07-11 00:59:40.988113,AST-388,Structural,Jeddah Islamic Port,4146.0,60,8.8,137,10365.0,56.0
2026-07-10 00:59:40.988113,AST-348,Hydraulic,Jubail Industrial City,5922.12,50,3.0,33,12337.75,85.0
2026-07-09 00:59:40.988113,AST-390,Structural,Jazan Port,6078.34,42,9.7,136,10637.095000000001,51.5
2026-07-08 00:59:40.988113,AST-358,Electrical,Jeddah Islamic Port,9342.65,11,1.1,142,4282.047916666666,94.5
2026-07-07 00:59:40.988113,AST-341,Structural,Dammam Logistics Park,2102.77,66,9.7,188,5782.6175,51.5
2026-07-06 00:59:40.988113,AST-391,Hydraulic,Dammam Logistics Park,3945.58,64,1.4,149,10521.546666666665,93.0
2026-07-05 00:59:40.988113,AST-359,Hydraulic,Yanbu Industrial City,3027.29,32,9.0,78,4036.3866666666663,55.0
2026-07-04 00:59:40.988113,AST-379,Electrical,Jazan Port,3647.8,39,5.7,21,5927.675,71.5
2026-07-03 00:59:40.988113,AST-314,Structural,Riyadh Supply Hub,5382.24,73,9.9,88,16370.979999999998,50.5
2026-07-02 00:59:40.988113,AST-361,Structural,Jeddah Islamic Port,4481.49,42,1.7,220,7842.6075,91.5
2026-07-01 00:59:40.988113,AST-361,Electrical,Jubail Industrial City,4657.53,43,6.0,73,8344.74125,70.0
2026-06-30 00:59:40.988113,AST-346,Structural,Jazan Port,8253.71,28,9.7,38,9629.328333333333,51.5
2026-06-29 00:59:40.988113,AST-361,Structural,Jazan Port,8940.13,12,5.7,10,4470.065,71.5
2026-06-28 00:59:40.988113,AST-350,Hydraulic,Dammam Logistics Park,2063.33,11,6.7,57,945.6929166666666,66.5
2026-06-27 00:59:40.988113,AST-354,Structural,Yanbu Industrial City,3171.35,45,7.3,198,5946.28125,63.5
2026-06-26 00:59:40.988113,AST-363,Structural,Yanbu Industrial City,6869.15,1,5.1,209,286.2145833333333,74.5
2026-06-25 00:59:40.988113,AST-302,Electrical,Jeddah Islamic Port,4369.17,34,6.6,130,6189.6575,67.0
2026-06-24 00:59:40.988113,AST-350,Electrical,Dammam Logistics Park,3533.31,7,6.3,239,1030.5487500000002,68.5
2026-06-23 00:59:40.988113,AST-306,Telemetry,Jazan Port,3862.32,25,9.1,47,4023.2500000000005,54.5
